"","Area","GDP"
"1","广东",67792.24
"2","江苏",65088.32
"3","山东",59426.59
"4","浙江",40153.5
"5","河南",34939.38
"6","河北",29421.15
"7","辽宁",28626.58
"8","四川",28536.66
"9","湖北",27367.04
"10","湖南",27048.46
"11","福建",24055.76
"12","上海",23560.94
"13","北京",21330.8
"14","安徽",20848.75
"15","内蒙古",17769.51
"16","陕西",17689.94
"17","天津",15722.47
"18","江西",15708.59
"19","广西",15672.97
"20","黑龙江",15039.4
"21","重庆",14265.4
"22","吉林",13803.81
"23","云南",12814.59
"24","山西",12759.44
"25","新疆",9264.1
"26","贵州",9251.01
"27","甘肃",6835.27
"28","海南",3500.72
"29","宁夏",2752.1
"30","青海",2301.12
"31","西藏",920.83
